,NAME,num_eviction,poverty_rate
873,3583.0,1,2.9
874,3578.0,1,7.0
875,3576.0,1,5.8
876,3573.0,1,0.0
877,3418.0,1,28.2
878,3561.0,1,1.9
879,3548.0,1,2.4
880,3421.01,1,6.7
881,3543.0,1,5.6
882,3538.0,1,6.1
883,3530.0,1,15.9
884,3421.02,1,8.6
885,3512.03,1,9.3
886,3683.0,1,3.8
887,3691.0,1,3.7
888,4051.0,1,0.0
889,3703.0,1,4.8
890,4041.0,1,8.4
891,4034.0,1,1.9
892,4025.0,1,3.0
893,4009.0,1,10.4
894,4006.0,1,1.5
895,3373.0,1,2.0
896,3881.0,1,4.6
897,3852.02,1,1.6
898,3852.01,1,1.5
899,3381.0,1,1.2
900,3391.0,1,1.0
901,3837.0,1,0.7
902,3395.0,1,3.6
903,3401.0,1,4.9
904,3823.0,1,0.0
905,3746.0,1,1.2
906,3745.0,1,4.5
907,3742.0,1,1.1
908,3731.0,1,0.0
909,5031.02,1,1.1
910,5062.04,1,1.9
911,810.01,1,20.4
912,1402.02,1,8.5
913,7097.02,1,6.2
914,7095.01,1,1.0
915,2001.0,1,3.2
916,2011.0,1,1.9
917,2021.01,1,2.5
918,2041.02,1,6.6
919,6552.0,1,7.7
920,6532.03,1,7.8
921,2047.01,1,9.5
922,2053.0,1,0.7
923,2083.0,1,7.8
924,2092.0,1,1.5
925,2101.0,1,0.9
926,2102.0,1,2.4
927,2105.0,1,4.2
928,2111.0,1,7.6
929,2121.0,1,2.3
930,2131.0,1,0.0
931,6502.02,1,6.4
932,7104.0,1,16.0
933,1401.07,1,8.3
934,6451.03,1,0.0
935,1303.0,1,2.1
936,812.0,1,36.5
937,813.0,1,35.7
938,906.0,1,9.0
939,1007.0,1,3.5
940,7309.02,1,2.2
941,7308.01,1,4.3
942,1102.01,1,12.7
943,7306.0,1,3.7
944,1103.01,1,7.5
945,1106.07,1,0.0
946,1201.04,1,8.4
947,7302.0,1,6.8
948,7284.0,1,2.7
949,7283.0,1,1.2
950,7281.0,1,4.3
951,7271.0,1,1.6
952,7211.01,1,3.7
953,7201.0,1,1.3
954,1301.0,1,0.0
955,6461.01,1,5.3
956,2176.0,1,1.2
957,5081.01,1,1.6
958,2611.01,1,2.3
959,5421.02,1,0.8
960,5421.01,1,0.0
961,5401.02,1,4.4
962,2621.0,1,1.0
963,2661.0,1,4.4
964,5261.0,1,5.3
965,5251.04,1,4.3
966,5232.02,1,3.2
967,5231.0,1,4.7
968,5221.01,1,1.9
969,5212.02,1,2.9
970,2684.0,1,2.8
971,3001.0,1,2.7
972,3011.02,1,2.3
973,5117.01,1,8.1
974,3120.0,1,15.4
975,5105.02,1,13.2
976,3131.01,1,3.3
977,5081.02,1,4.8
978,2611.02,1,19.4
979,6002.03,1,3.1
980,2201.01,1,3.8
981,6002.04,1,3.3
982,2214.0,1,13.7
983,2215.0,1,13.3
984,2219.02,1,2.5
985,2231.0,1,2.6
986,2509.0,1,30.8
987,2515.0,1,11.0
988,2521.01,1,12.2
989,2522.01,1,2.9
990,2526.01,1,4.8
991,2526.02,1,1.8
992,2526.03,1,2.0
993,6302.0,1,8.5
994,6171.02,1,1.5
995,2541.0,1,4.0
996,2543.01,1,0.8
997,6134.0,1,9.9
998,6133.0,1,5.0
999,6121.0,1,5.4
1000,6112.02,1,2.6
1001,2114.02,1,0.8
